fast_ma,slow_ma,sl_mult,tp_mult,atr_thresh,pnl,sharpe,max_drawdown,win_rate
10,50,1.0,1.0,1.0,50953.58000000059,0.8592558213075514,-19436.279999999984,37.7008652657602
10,50,1.0,1.0,2.0,-15673.11999999939,-1.6205584248797371,-20802.289999999583,37.25357665878112
10,50,1.0,1.5,1.0,42929.310000000536,0.40729235953768095,-19071.299999999505,35.36659260755403
10,50,1.0,1.5,2.0,-16649.739999999558,-2.3644749434260497,-21739.829999999714,35.2437223042836
10,50,1.0,2.0,1.0,34942.04000000011,0.11759597509620535,-19185.95999999975,32.771313227261935
10,50,1.0,2.0,2.0,-17552.529999999886,-2.9938428890669777,-22048.58999999983,32.188915998605786
10,50,1.5,1.0,1.0,48496.09000000016,1.6490847402275355,-13665.05999999999,47.5396502643351
10,50,1.5,1.0,2.0,-2153.869999999768,-1.2262796985548994,-16595.67999999981,47.016140974381756
10,50,1.5,1.5,1.0,30846.970000000074,0.6732314585099902,-13678.209999999972,45.20435967302453
10,50,1.5,1.5,2.0,-12048.399999999925,-2.234008604506878,-17229.679999999935,44.591917591125195
10,50,1.5,2.0,1.0,62367.46000000008,3.1109096215666545,-16857.099999999984,42.17931937172775
10,50,1.5,2.0,2.0,-1323.4600000000519,-1.0967981305751158,-15134.75999999987,41.18346007604563
10,100,1.0,1.0,1.0,24534.680000000288,0.4042371711253504,-22829.080000000205,37.87735849056604
10,100,1.0,1.0,2.0,-13456.389999999656,-0.9047099291553304,-24078.270000000146,37.73368505562564
10,100,1.0,1.5,1.0,96217.44000000048,2.357836438855754,-30573.22999999991,36.03062913907284
10,100,1.0,1.5,2.0,-8223.019999999728,-0.45145569690075016,-32990.24999999991,35.83066849398508
10,100,1.0,2.0,1.0,78320.94999999997,2.1805356586434264,-28807.299999999974,32.935026138909635
10,100,1.0,2.0,2.0,-5053.9499999999525,-0.3272503878235623,-26819.38999999995,32.69835398557426
10,100,1.5,1.0,1.0,86136.68000000011,3.538892641563934,-20639.609999999986,48.47225109124922
10,100,1.5,1.0,2.0,25238.040000000197,1.3955861067666688,-21279.899999999994,48.475193445607644
10,100,1.5,1.5,1.0,71263.67999999983,3.144209902027695,-21953.02000000001,45.80045095828636
10,100,1.5,1.5,2.0,8725.529999999824,0.7415711198569811,-26633.55,45.91391141609482
10,100,1.5,2.0,1.0,106637.35999999977,5.219779038758645,-25425.22999999998,42.20598469032707
10,100,1.5,2.0,2.0,21070.549999999712,1.8645704386933173,-21648.259999999977,42.13934213934214
10,200,1.0,1.0,1.0,41799.110000000466,0.6530043464219784,-21479.85999999989,38.49683544303797
10,200,1.0,1.0,2.0,-15671.559999999625,-1.0456947906645775,-26320.639999999898,38.142543606330136
10,200,1.0,1.5,1.0,142155.7100000006,3.1202439564070614,-39811.369999999966,36.677908937605395
10,200,1.0,1.5,2.0,-6901.079999999714,-0.8501438415637564,-23349.32999999982,36.276628589070704
10,200,1.0,2.0,1.0,69515.46999999994,1.6368834599945117,-26376.239999999976,33.18943626206196
10,200,1.0,2.0,2.0,-10455.320000000038,-1.540070869130612,-23534.159999999978,33.00825206301575
10,200,1.5,1.0,1.0,108277.90000000001,4.141307656671016,-24765.579999999987,49.4752308984047
10,200,1.5,1.0,2.0,21809.61000000004,1.124839059668353,-16722.760000000082,49.02777777777778
10,200,1.5,1.5,1.0,153642.07000000012,5.680175023521821,-30524.599999999977,47.121473805411625
10,200,1.5,1.5,2.0,37938.71999999977,2.0861844142301766,-21606.969999999994,46.8044311887516
