entry_time,exit_time,symbol,direction,quantity,entry_price,exit_price,pnl,exit_reason,commission,slippage
2025-03-27 11:30:00,2025-03-27 11:45:00,SPY,BUY,100,569.0,567.92,-115.6846000000041,SL,2.0,5.6846
2025-04-01 12:25:00,2025-04-01 12:25:00,SPY,BUY,100,560.75,560.75,-7.6075,TP,2.0,5.6075
2025-04-01 12:30:00,2025-04-01 13:15:00,SPY,BUY,100,560.39,559.77,-69.60080000000045,TIME,2.0,5.6008
2025-04-02 11:45:00,2025-04-02 12:10:00,SPY,BUY,100,561.7,563.54,176.3737999999918,TP,2.0,5.6262
2025-04-02 13:30:00,2025-04-02 13:40:00,SPY,BUY,100,565.5,564.57,-100.650349999995,SL,2.0,5.65035
2025-04-08 10:40:00,2025-04-08 10:55:00,SPY,BUY,100,521.55,517.85,-377.1969999999932,SL,2.0,5.197
2025-04-08 11:10:00,2025-04-08 11:35:00,SPY,BUY,100,515.87,517.38,143.8337499999991,RSI,2.0,5.16625
2025-04-09 14:55:00,2025-04-09 15:10:00,SPY,BUY,100,530.93,537.46,645.6580500000086,TP,2.0,5.34195
2025-04-11 13:15:00,2025-04-11 13:35:00,SPY,BUY,100,530.09,532.75,258.6857999999968,TP,2.0,5.3142000000000005
2025-04-14 11:10:00,2025-04-14 11:25:00,SPY,BUY,100,540.65,538.52,-220.39584999999954,SL,2.0,5.39585
2025-04-16 11:45:00,2025-04-16 12:00:00,SPY,BUY,100,532.65,531.78,-94.32215000000045,SL,2.0,5.322149999999999
2025-04-17 10:15:00,2025-04-17 10:35:00,SPY,BUY,100,526.72,524.4,-239.255600000005,SL,2.0,5.255599999999999
2025-04-17 13:15:00,2025-04-17 13:55:00,SPY,BUY,100,528.38,529.57,111.71025000000546,TP,2.0,5.28975
2025-04-22 11:40:00,2025-04-22 11:55:00,SPY,BUY,100,523.89,526.17,220.74969999999726,TP,2.0,5.250299999999999
2025-04-22 12:55:00,2025-04-22 13:10:00,SPY,BUY,100,527.56,525.68,-195.26619999999954,SL,2.0,5.266199999999999
2025-04-22 15:10:00,2025-04-22 15:20:00,SPY,BUY,100,525.75,524.92,-90.25335000000409,SL,2.0,5.25335
2025-04-23 10:15:00,2025-04-23 11:00:00,SPY,BUY,100,541.93,542.87,86.57600000000545,TIME,2.0,5.4239999999999995
2025-04-23 11:15:00,2025-04-23 11:20:00,SPY,BUY,100,540.99,539.94,-112.40464999999546,SL,2.0,5.40465
2025-04-25 13:35:00,2025-04-25 13:35:00,SPY,BUY,100,548.98,548.98,-7.489800000000001,TP,2.0,5.489800000000001
2025-04-25 14:55:00,2025-04-25 15:40:00,SPY,BUY,100,549.84,549.56,-35.49700000000864,TIME,2.0,5.497000000000001
2025-04-29 14:55:00,2025-04-29 15:40:00,SPY,BUY,100,554.33,554.15,-25.542400000006367,TIME,2.0,5.5424
2025-04-30 12:20:00,2025-04-30 12:40:00,SPY,BUY,100,548.14,549.02,80.51419999999955,TP,2.0,5.485799999999999
