entry_time,exit_time,symbol,direction,quantity,entry_price,exit_price,pnl,exit_reason,commission,slippage
2025-02-04 11:00:00,2025-02-04 11:45:00,SPY,BUY,1,601.16,601.09,-2.130112499999936,TIME,2.0,0.0601125
2025-02-04 15:05:00,2025-02-04 15:30:00,SPY,BUY,1,601.6,601.3,-2.360145000000068,StopLoss,2.0,0.060145000000000004
2025-02-05 12:30:00,2025-02-05 13:15:00,SPY,BUY,1,602.51,602.86,-1.7102684999999773,TIME,2.0,0.060268499999999996
2025-02-05 14:55:00,2025-02-05 15:15:00,SPY,BUY,1,603.07,603.68,-1.4503375000001,TakeProfit,2.0,0.0603375
2025-02-05 15:45:00,2025-02-05 15:50:00,SPY,BUY,1,603.12,603.5,-1.6803310000000045,TakeProfit,2.0,0.060330999999999996
2025-02-06 10:40:00,2025-02-06 11:15:00,SPY,BUY,1,604.7,605.63,-1.13051650000005,TakeProfit,2.0,0.060516499999999994
2025-02-06 11:40:00,2025-02-06 12:25:00,SPY,BUY,1,605.02,605.14,-1.9405079999999955,TIME,2.0,0.06050799999999999
2025-02-10 11:20:00,2025-02-10 12:05:00,SPY,BUY,1,604.4,603.82,-2.6404109999999275,TIME,2.0,0.060411
2025-02-10 12:15:00,2025-02-10 12:35:00,SPY,BUY,1,603.57,604.19,-1.4403879999999956,TakeProfit,2.0,0.06038800000000001
2025-02-10 14:45:00,2025-02-10 15:30:00,SPY,BUY,1,604.87,604.77,-2.1604820000000227,TIME,2.0,0.060481999999999994
2025-02-10 15:35:00,2025-02-10 15:50:00,SPY,BUY,1,604.68,604.61,-2.1304644999999365,StopLoss,2.0,0.0604645
2025-02-11 15:40:00,2025-02-12 09:30:00,SPY,BUY,1,604.94,599.64,-7.360229000000068,StopLoss,2.0,0.060229
2025-02-12 12:45:00,2025-02-12 13:30:00,SPY,BUY,1,603.87,603.63,-2.300375000000009,TIME,2.0,0.060375
2025-02-12 13:45:00,2025-02-12 14:30:00,SPY,BUY,1,603.1,603.4,-1.7603250000000454,TIME,2.0,0.060325
2025-02-12 15:20:00,2025-02-12 15:40:00,SPY,BUY,1,603.66,602.77,-2.9503214999999865,StopLoss,2.0,0.06032149999999999
2025-02-13 11:30:00,2025-02-13 11:55:00,SPY,BUY,1,606.78,606.1,-2.74064399999995,StopLoss,2.0,0.060644
2025-02-13 12:00:00,2025-02-13 12:00:00,SPY,BUY,1,606.47,606.47,-2.060647,StopLoss,2.0,0.060647
2025-02-13 13:05:00,2025-02-13 13:15:00,SPY,BUY,1,606.0,605.36,-2.7005679999999863,StopLoss,2.0,0.060568000000000004
2025-02-14 10:40:00,2025-02-14 10:55:00,SPY,BUY,1,610.05,610.51,-1.6010279999999637,TakeProfit,2.0,0.061028
2025-02-14 11:20:00,2025-02-14 12:05:00,SPY,BUY,1,609.73,609.64,-2.150968500000032,TIME,2.0,0.060968499999999995
2025-02-14 14:30:00,2025-02-14 15:15:00,SPY,BUY,1,610.11,610.13,-2.041012000000018,TIME,2.0,0.061012000000000004
2025-02-19 11:00:00,2025-02-19 11:10:00,SPY,BUY,1,610.57,611.23,-1.401090000000032,TakeProfit,2.0,0.06109000000000001
2025-02-19 12:20:00,2025-02-19 12:50:00,SPY,BUY,1,611.13,611.72,-1.4711424999999683,TakeProfit,2.0,0.061142499999999995
2025-02-19 13:15:00,2025-02-19 13:15:00,SPY,BUY,1,611.52,611.52,-2.061152,StopLoss,2.0,0.061152
2025-02-19 14:00:00,2025-02-19 14:10:00,SPY,BUY,1,611.55,612.58,-1.0312064999999135,TakeProfit,2.0,0.061206500000000004
2025-02-19 15:10:00,2025-02-19 15:25:00,SPY,BUY,1,612.63,612.1,-2.591236499999973,StopLoss,2.0,0.0612365
2025-02-19 15:30:00,2025-02-19 15:55:00,SPY,BUY,1,612.55,612.91,-1.7012729999999863,TakeProfit,2.0,0.061273
2025-02-20 14:40:00,2025-02-20 14:45:00,SPY,BUY,1,609.16,609.83,-1.3909494999999272,TakeProfit,2.0,0.060949500000000004
2025-02-21 09:40:00,2025-02-21 09:50:00,SPY,BUY,1,609.23,608.62,-2.6708925000000137,StopLoss,2.0,0.060892499999999995
2025-02-24 13:00:00,2025-02-24 13:45:00,SPY,BUY,1,600.76,601.02,-1.8000890000000092,TIME,2.0,0.060089
2025-02-24 14:00:00,2025-02-24 14:10:00,SPY,BUY,1,601.33,600.66,-2.730099500000073,StopLoss,2.0,0.0600995
2025-02-25 14:15:00,2025-02-25 14:35:00,SPY,BUY,1,593.79,595.08,-0.7694434999999227,TakeProfit,2.0,0.059443499999999996
2025-02-25 15:40:00,2025-02-26 09:30:00,SPY,BUY,1,594.15,595.25,-0.9594699999999773,TakeProfit,2.0,0.05947
2025-02-26 11:30:00,2025-02-26 12:15:00,SPY,BUY,1,598.54,598.62,-1.979857999999959,TIME,2.0,0.059857999999999995
2025-03-03 10:00:00,2025-03-03 10:45:00,SPY,BUY,1,592.83,593.34,-1.549308500000009,TIME,2.0,0.05930850000000001
2025-03-03 11:45:00,2025-03-03 12:30:00,SPY,BUY,1,592.61,593.5,-1.1693055000000137,TIME,2.0,0.059305500000000004
2025-03-04 15:40:00,2025-03-04 15:50:00,SPY,BUY,1,580.01,576.63,-5.437831999999996,StopLoss,2.0,0.057831999999999995
2025-03-07 14:50:00,2025-03-07 15:35:00,SPY,BUY,1,575.27,573.93,-3.3974600000000317,TIME,2.0,0.05745999999999999
2025-03-07 15:40:00,2025-03-07 15:50:00,SPY,BUY,1,574.58,576.54,-0.0975560000000773,TakeProfit,2.0,0.057555999999999996
2025-03-11 15:25:00,2025-03-11 15:55:00,SPY,BUY,1,559.57,556.12,-5.505784500000045,StopLoss,2.0,0.0557845
2025-03-12 13:50:00,2025-03-12 14:35:00,SPY,BUY,1,559.37,560.39,-1.0359880000000181,TIME,2.0,0.055987999999999996
2025-03-12 15:15:00,2025-03-12 15:20:00,SPY,BUY,1,560.37,559.46,-2.9659914999999684,StopLoss,2.0,0.0559915
2025-03-14 10:15:00,2025-03-14 10:50:00,SPY,BUY,1,556.92,559.05,0.07420149999999547,TakeProfit,2.0,0.05579849999999999
2025-03-14 12:15:00,2025-03-14 12:35:00,SPY,BUY,1,560.46,561.06,-1.456076000000091,TakeProfit,2.0,0.056076
2025-03-14 13:30:00,2025-03-14 14:15:00,SPY,BUY,1,561.18,560.71,-2.5260944999999135,TIME,2.0,0.05609449999999999
2025-03-17 11:00:00,2025-03-17 11:45:00,SPY,BUY,1,563.85,563.9,-2.0063875000000455,TIME,2.0,0.0563875
2025-03-17 15:10:00,2025-03-17 15:55:00,SPY,BUY,1,568.69,567.02,-3.726785500000073,TIME,2.0,0.0567855
2025-03-18 09:30:00,2025-03-18 09:30:00,SPY,BUY,1,564.05,564.05,-2.056405,TakeProfit,2.0,0.056405
2025-03-19 10:45:00,2025-03-19 11:30:00,SPY,BUY,1,564.1,564.78,-1.37644400000005,TIME,2.0,0.05644400000000001
