entry_time,exit_time,symbol,direction,quantity,entry_price,exit_price,pnl,exit_reason
2006-05-15 10:00:00,2006-05-15 15:00:00,SPY,short,391,129.38,129.62,-93.84000000000356,TakeProfit
2006-05-15 16:00:00,2006-05-16 13:00:00,SPY,short,335,129.55,129.73,-60.299999999992764,StopLoss
2006-05-16 14:00:00,2006-05-17 11:00:00,SPY,short,333,129.54,127.76,592.7399999999957,TakeProfit
2006-05-17 12:00:00,2006-05-17 14:00:00,SPY,short,336,127.9,127.18,241.91999999999962,TakeProfit
2006-05-17 15:00:00,2006-05-17 15:00:00,SPY,short,292,127.2,127.2,-0.0,StopLoss
2006-05-17 16:00:00,2006-05-18 09:30:00,SPY,short,295,126.86,127.5,-188.80000000000018,StopLoss
2006-05-18 10:00:00,2006-05-23 16:00:00,SPY,short,288,127.4,125.2,633.6000000000008,TakeProfit
2006-05-24 09:30:00,2006-05-25 11:00:00,SPY,short,314,126.21,127.3,-342.26000000000107,StopLoss
2006-05-25 12:00:00,2006-05-25 15:00:00,SPY,short,282,127.05,127.63,-163.55999999999952,CrossUp
2006-05-25 16:00:00,2006-05-30 11:00:00,SPY,long,376,127.68,127.26,-157.92000000000064,StopLoss
2006-05-30 12:00:00,2006-05-30 14:00:00,SPY,long,663,127.01,126.92,-59.67000000000226,TakeProfit
2006-05-30 15:00:00,2006-05-31 10:00:00,SPY,long,556,126.28,127.2,511.52000000000095,TakeProfit
2006-05-31 11:00:00,2006-05-31 12:00:00,SPY,long,508,127.16,127.06,-50.79999999999711,CrossDown
2006-05-31 13:00:00,2006-06-02 14:00:00,SPY,short,510,126.9,129.08,-1111.8000000000034,CrossUp
2006-06-02 15:00:00,2006-06-05 09:30:00,SPY,long,407,129.13,128.64,-199.4300000000037,StopLoss
2006-06-05 10:00:00,2006-06-05 14:00:00,SPY,long,421,128.68,127.6,-454.6800000000053,StopLoss
2006-06-05 15:00:00,2006-06-06 10:00:00,SPY,long,436,126.9,126.45,-196.20000000000124,CrossDown
2006-06-06 11:00:00,2006-06-06 11:00:00,SPY,short,406,125.95,125.95,-0.0,StopLoss
2006-06-06 12:00:00,2006-06-07 11:00:00,SPY,short,380,126.88,127.51,-239.40000000000367,StopLoss
2006-06-07 12:00:00,2006-06-07 16:00:00,SPY,short,329,127.24,125.9,440.85999999999643,TakeProfit
2006-06-08 10:00:00,2006-06-09 14:00:00,SPY,short,241,125.27,126.11,-202.44000000000082,StopLoss
2006-06-09 15:00:00,2006-06-13 10:00:00,SPY,short,249,125.53,123.6,480.5700000000017,TakeProfit
2006-06-13 11:00:00,2006-06-13 14:00:00,SPY,short,321,124.42,123.03,446.19000000000017,TakeProfit
2006-06-13 15:00:00,2006-06-13 15:00:00,SPY,short,294,122.73,122.73,-0.0,StopLoss
2006-06-13 16:00:00,2006-06-13 16:00:00,SPY,short,282,122.57,122.57,-0.0,StopLoss
2006-06-14 09:30:00,2006-06-15 09:30:00,SPY,short,275,123.42,124.32,-247.49999999999767,StopLoss
2006-06-15 10:00:00,2006-06-15 14:00:00,SPY,short,311,124.66,125.65,-307.89000000000283,StopLoss
2006-06-15 15:00:00,2006-06-15 15:00:00,SPY,short,325,125.96,125.96,-0.0,TakeProfit
2006-06-15 16:00:00,2006-06-16 09:30:00,SPY,long,337,126.08,125.41,-225.7900000000006,StopLoss
2006-06-16 10:00:00,2006-06-19 13:00:00,SPY,long,310,124.87,123.84,-319.30000000000035,StopLoss
2006-06-19 14:00:00,2006-06-19 14:00:00,SPY,long,347,123.57,123.57,0.0,TakeProfit
2006-06-19 15:00:00,2006-06-19 16:00:00,SPY,long,356,123.82,123.64,-64.07999999999737,CrossDown
2006-06-20 09:30:00,2006-06-20 11:00:00,SPY,short,368,123.8,124.62,-301.7600000000027,StopLoss
2006-06-20 12:00:00,2006-06-21 10:00:00,SPY,short,348,124.29,124.63,-118.31999999999624,CrossUp
2006-06-21 11:00:00,2006-06-21 11:00:00,SPY,long,378,125.24,125.24,0.0,StopLoss
2006-06-21 12:00:00,2006-06-22 09:30:00,SPY,long,431,125.46,124.96,-215.5,StopLoss
2006-06-22 10:00:00,2006-06-22 13:00:00,SPY,long,494,124.61,124.32,-143.2600000000031,StopLoss
2006-06-22 14:00:00,2006-06-23 09:30:00,SPY,long,472,124.4,124.36,-18.88000000000295,CrossDown
2006-06-23 10:00:00,2006-06-23 12:00:00,SPY,short,554,124.65,124.9,-138.5,StopLoss
2006-06-23 13:00:00,2006-06-26 12:00:00,SPY,short,509,124.98,124.66,162.88000000000375,CrossUp
2006-06-26 13:00:00,2006-06-27 12:00:00,SPY,long,573,124.65,124.28,-212.0100000000026,StopLoss
2006-06-27 13:00:00,2006-06-27 14:00:00,SPY,long,588,124.33,124.0,-194.039999999999,StopLoss
2006-06-27 15:00:00,2006-06-27 16:00:00,SPY,long,519,123.87,123.91,20.75999999999587,CrossDown
2006-06-28 09:30:00,2006-06-28 11:00:00,SPY,short,483,124.1,123.95,72.44999999999588,StopLoss
2006-06-28 12:00:00,2006-06-28 14:00:00,SPY,short,423,124.07,124.45,-160.7400000000041,StopLoss
2006-06-28 15:00:00,2006-06-29 09:30:00,SPY,short,418,124.58,125.55,-405.4599999999995,StopLoss
2006-06-29 10:00:00,2006-06-29 12:00:00,SPY,short,418,125.67,125.32,146.30000000000356,CrossUp
2006-06-29 13:00:00,2006-06-29 14:00:00,SPY,long,443,125.44,126.79,598.0500000000038,TakeProfit
2006-06-29 15:00:00,2006-07-05 10:00:00,SPY,long,401,127.24,126.63,-244.6099999999998,StopLoss
