lookback,sl_mult,tp_mult,atr_thresh,pnl,sharpe,max_drawdown,win_rate
50,0.5,0.5,1.0,-2353.8093390000004,-181.68715889634962,-2351.9172300000027,1.6088060965283657
50,0.5,0.5,2.0,-905.2025465,-210.42816405863445,-902.6873315000012,2.643171806167401
50,0.5,0.5,3.0,-293.9832715,-239.43256874040569,-291.4680565000017,4.054054054054054
50,0.5,0.5,5.0,-61.776072000000006,-229.49703867515635,-59.74807900000087,0.0
50,0.5,1.0,1.0,-2199.6064210000004,-168.3828886108679,-2199.9481915000033,3.571428571428571
50,0.5,1.0,2.0,-849.1219820000001,-169.55431876382485,-849.0506569999998,5.963302752293578
50,0.5,1.0,3.0,-275.3042174999998,-144.12453983996664,-275.23289250000016,6.338028169014084
50,0.5,1.0,5.0,-48.31200250000005,-83.4411933453544,-46.28400949999923,8.0
50,0.5,1.5,1.0,-2140.9809240000004,-165.8237080369082,-2143.4525880000037,4.520295202952029
50,0.5,1.5,2.0,-841.3409605000002,-163.49450072963938,-843.3995290000021,5.620608899297424
50,0.5,1.5,3.0,-279.58358599999997,-140.68947656962183,-281.6421545000012,5.797101449275362
50,0.5,1.5,5.0,-52.45220950000003,-88.88013293987402,-47.66407849999814,8.0
50,0.5,2.0,1.0,-2135.334119,-163.39879348833065,-2133.2319995000034,4.51552210724365
50,0.5,2.0,2.0,-849.6096940000002,-157.09430986332964,-847.0944789999994,5.238095238095238
50,0.5,2.0,3.0,-302.3602214999999,-138.42260272286785,-299.8450064999997,4.444444444444445
50,0.5,2.0,5.0,-77.70347200000006,-120.28043808367138,-72.9153409999999,4.0
50,1.0,0.5,1.0,-1898.5591004999992,-131.25208755790726,-1898.709762999999,5.857294994675186
50,1.0,0.5,2.0,-741.7862904999995,-107.33445278401196,-741.3138470000013,11.048158640226628
50,1.0,0.5,3.0,-256.4786740000001,-96.65068801725073,-253.96345900000233,17.24137931034483
50,1.0,0.5,5.0,-29.180676000000112,-50.95125895326334,-35.63821050000115,36.36363636363637
50,1.0,1.0,1.0,-1630.5957569999991,-115.160288338426,-1638.9920920000004,12.75820170109356
50,1.0,1.0,2.0,-650.5743744999996,-89.30728215148581,-658.5576140000012,22.78481012658228
50,1.0,1.0,3.0,-213.51451200000002,-70.3136162135416,-218.063029500001,27.722772277227726
50,1.0,1.0,5.0,-42.72846550000002,-59.181452246512094,-47.2043545000015,28.57142857142857
50,1.0,1.5,1.0,-1472.4618744999993,-105.69567536176636,-1486.0409579999978,17.060367454068242
50,1.0,1.5,2.0,-587.8835029999998,-78.16955627353136,-601.0494910000016,24.489795918367346
50,1.0,1.5,3.0,-188.42912300000026,-57.120897912143406,-197.51596749999953,27.659574468085108
