entry_time,exit_time,symbol,direction,quantity,entry_price,exit_price,pnl,exit_reason
2005-05-17 10:00:00,2005-05-17 14:00:00,SPY,short,477,116.32,117.3,-467.4600000000019,StopLoss
2005-05-17 15:00:00,2005-05-18 09:30:00,SPY,long,558,117.59,118.1,284.5799999999949,TakeProfit
2005-05-18 10:00:00,2005-05-18 15:00:00,SPY,long,530,118.45,118.79,180.2000000000018,StopLoss
2005-05-18 16:00:00,2005-05-23 14:00:00,SPY,long,430,118.85,119.97,481.60000000000196,TakeProfit
2005-05-23 15:00:00,2005-05-24 09:30:00,SPY,long,772,119.65,119.48,-131.24000000000132,StopLoss
2005-05-24 10:00:00,2005-05-25 10:00:00,SPY,long,761,119.4,119.05,-266.3500000000065,StopLoss
2005-05-25 11:00:00,2005-05-26 09:30:00,SPY,long,719,119.03,119.67,460.1600000000004,StopLoss
2005-05-26 10:00:00,2005-05-26 12:00:00,SPY,long,595,119.97,119.98,5.950000000003044,StopLoss
2005-05-26 13:00:00,2005-05-31 11:00:00,SPY,long,557,119.93,119.64,-161.5300000000035,StopLoss
2005-05-31 12:00:00,2005-05-31 15:00:00,SPY,long,1090,119.63,119.45,-196.19999999999195,StopLoss
2005-05-31 16:00:00,2005-06-01 10:00:00,SPY,long,604,119.48,120.51,622.1200000000007,TakeProfit
2005-06-01 11:00:00,2005-06-01 11:00:00,SPY,long,462,120.82,120.82,0.0,StopLoss
2005-06-01 12:00:00,2005-06-01 13:00:00,SPY,long,453,120.75,120.84,40.770000000001545,StopLoss
2005-06-01 14:00:00,2005-06-06 10:00:00,SPY,long,387,120.13,119.62,-197.36999999999648,CrossDown
2005-06-06 11:00:00,2005-06-06 13:00:00,SPY,short,757,119.66,119.95,-219.53000000000475,StopLoss
2005-06-06 14:00:00,2005-06-07 09:30:00,SPY,short,737,119.99,120.78,-582.2300000000046,StopLoss
2005-06-07 10:00:00,2005-06-07 11:00:00,SPY,short,745,121.12,121.21,-67.04999999999195,CrossUp
2005-06-07 12:00:00,2005-06-07 14:00:00,SPY,long,774,121.19,120.63,-433.44000000000176,StopLoss
2005-06-07 15:00:00,2005-06-07 15:00:00,SPY,long,523,120.07,120.07,0.0,TakeProfit
2005-06-07 16:00:00,2005-06-08 14:00:00,SPY,long,546,120.18,119.74,-240.24000000000652,StopLoss
2005-06-08 15:00:00,2005-06-10 09:30:00,SPY,short,327,119.85,120.41,-183.12000000000074,StopLoss
2005-06-10 10:00:00,2005-06-13 09:30:00,SPY,short,339,120.19,119.96,77.97000000000135,TakeProfit
2005-06-13 10:00:00,2005-06-13 13:00:00,SPY,short,263,120.68,120.54,36.82000000000015,CrossUp
2005-06-13 14:00:00,2005-06-23 13:00:00,SPY,long,246,120.6,120.6,0.0,CrossDown
2005-06-23 14:00:00,2005-06-24 09:30:00,SPY,short,614,120.52,119.86,405.2399999999979,TakeProfit
2005-06-24 10:00:00,2005-06-24 16:00:00,SPY,short,649,119.78,119.06,467.2799999999993,TakeProfit
2005-06-27 09:30:00,2005-06-28 09:30:00,SPY,short,621,119.12,119.69,-353.96999999999576,StopLoss
