lookback,sl_mult,tp_mult,atr_thresh,pnl,sharpe,max_drawdown,win_rate
10,1.0,1.5,1.0,30401.680533000123,5.0460101048337584,-10157.53990449998,30.899532710280376
10,1.0,2.0,1.0,29515.52248600035,5.210565797960296,-9125.341714500037,28.840315725561627
20,1.5,1.5,1.0,20251.07454400004,8.096340114627692,-5197.133986000015,45.78896418199419
20,1.0,2.0,1.0,18642.5178565002,3.753340961383832,-11723.10030000002,28.68217054263566
20,1.0,1.5,1.0,17119.747409500087,3.3486882036050862,-10897.37772800009,30.95435684647303
10,1.5,1.5,1.0,14401.312800999916,4.894574144591548,-6352.3201515000255,45.94972067039106
30,1.0,2.0,1.0,12301.533792000238,2.229161779821958,-6803.540151999994,28.197064989517816
20,1.5,2.0,1.0,12179.609910000074,6.1021296517678,-5783.890348500048,42.5357873210634
30,1.5,1.5,1.0,12142.777398000051,4.725619606185075,-4393.872578999984,45.6242707117853
10,1.0,1.0,1.0,11684.839985500148,2.1361320242419706,-9328.379887000016,33.96533044420369
